"dteday","season","yr","mnth","holiday","weekday","workingday","total","temp","hum","windspeed"
"2011-02-14","1",0,"2",0,"1",1,1913,-0.439138779996362,-1.76972787288216,2.9345596198684
"2011-02-15","1",0,"2",0,"2",1,1815,-1.25264458707867,-2.20141992977356,1.30181245747477
"2011-02-16","1",0,"2",0,"3",1,2115,-0.967620654670272,-1.43521104623973,0.791055053442583
"2011-02-17","1",0,"2",0,"4",1,2475,-0.325327140319397,-0.862843852364856,0.511213312134253
"2011-02-18","1",0,"2",0,"5",1,2927,0.143576815149702,-0.780931747285874,0.960526761288608
"2011-02-19","1",0,"2",0,"6",0,1635,-0.525635626150856,-3.08909785111861,4.09012907812788
"2011-02-20","1",0,"2",0,"0",0,1812,-1.14813581186226,-1.54510554746371,0.42257365738773
"2011-02-21","1",0,"2",1,"1",0,1107,-1.0491691686649,-0.160740094545011,1.51435921788057
"2011-02-22","1",0,"2",0,"2",1,1450,-1.71079416732033,-0.351868339729302,0.0670612954459534
"2011-02-23","1",0,"2",0,"3",1,1917,-1.49491492962581,-1.43826367127373,-1.24355918366541
"2011-02-24","1",0,"2",0,"4",1,1807,-1.09113102538058,0.487942725179846,0.77433650045471
"2011-02-25","1",0,"2",0,"5",1,1461,-0.715849514376185,0.591731976335823,2.01364131757586
"2011-02-26","1",0,"2",0,"6",0,1969,-1.16298080834186,-0.631734698749157,-0.0505225879213523
"2011-02-27","1",0,"2",0,"0",0,2402,-0.829859087339545,0.365837723819873,-0.841808989215225
"2011-02-28","1",0,"2",0,"1",1,1446,-0.481352551803819,1.74451419372066,1.28003702672988
"2011-03-01","1",0,"3",0,"2",1,1851,-1.24947765449636,-0.652212725018903,0.334703074779492
"2011-03-02","1",0,"3",0,"3",1,2134,-0.876175476355911,-1.25192635149002,1.514197923116
"2011-03-03","1",0,"3",0,"4",1,1685,-1.62277983263681,-2.17343753362857,0.45508273406591
"2011-03-04","1",0,"3",0,"5",1,1944,-1.27679244801883,-0.122709474329769,0.165934986123811
"2011-03-05","1",0,"3",0,"6",0,2077,-0.607580006718272,1.1323009927732,0.792081262162056
"2011-03-06","1",0,"3",0,"0",0,605,-0.649343930147558,2.24930736979746,1.97167662752576
"2011-03-07","1",0,"3",0,"1",1,1872,-1.27639658144604,-0.537739286243928,1.94671100309756
"2011-03-08","1",0,"3",0,"2",1,2133,-1.10835122129692,-1.45378118186323,-0.90113741131145
"2011-03-09","1",0,"3",0,"3",1,1891,-1.09014135894861,1.03576172607298,0.382768914619625
"2011-03-10","1",0,"3",0,"4",1,623,-0.580679073703716,-4.40846782935507,0.921200165055772
"2011-03-11","1",0,"3",0,"5",1,1977,-0.977121452417219,0.15215397143992,0.548187214903993
"2011-03-12","1",0,"3",0,"6",0,2132,-0.90804273546546,-0.233875902651245,0.390833652847835
"2011-03-13","1",0,"3",0,"0",0,2417,-0.606590340286298,-0.705633663113891,1.03381068692756
"2011-03-14","1",0,"3",0,"1",1,2046,-0.929617463682486,-0.919317415493844,-0.691117602217153
"2011-03-15","1",0,"3",0,"2",1,2056,-0.972371053543746,0.194890721915911,-0.0797122650969063
"2011-03-16","1",0,"3",0,"3",1,2192,-0.711099115502712,1.04352048136772,0.162987265861268
"2011-03-17","1",0,"3",0,"4",1,2744,-0.439138779996362,-0.175367256166258,0.246367308719828
"2011-03-18","1",0,"3",0,"5",1,3239,0.243731058065432,-0.720896788283887,0.522997180368575
"2011-03-19","1",0,"3",0,"6",0,3117,-0.125018654487937,-1.74632441428816,2.2927139867459
"2011-03-20","1",0,"3",0,"0",0,2471,-0.889832873117146,-1.08225127668356,0.222388153721283
"2011-03-21","2",0,"3",0,"1",1,2077,-0.354819199992211,0.768784228307784,1.26837535149902
"2011-03-22","2",0,"3",0,"2",1,2703,-0.293459881209846,-0.0232447753052913,0.455028969144389
"2011-03-23","2",0,"3",0,"3",1,2121,-0.810857491845652,1.48615111129763,0.564849665365061
"2011-03-24","2",0,"3",0,"4",1,1865,-1.14932341158063,1.24931828574318,0.687777314410537
"2011-03-25","2",0,"3",0,"5",1,2210,-1.26313505125759,-0.933054228146841,0.519224285440943
"2011-03-26","2",0,"3",0,"6",0,2496,-1.25403012008344,-1.64100885061518,0.246259778876786
"2011-03-27","2",0,"3",0,"0",0,1693,-1.32390057018077,-0.940685790731839,-0.0798244701505162
"2011-03-28","2",0,"3",0,"1",1,2028,-1.26214538482562,-2.28689343072554,0.280241546883595
"2011-03-29","2",0,"3",0,"2",1,2425,-1.05372163425198,-2.20269185687106,0.471104680679288
"2011-03-30","2",0,"3",0,"3",1,1536,-1.06737903101321,0.131803137879924,-0.227086590197636
"2011-03-31","2",0,"3",0,"4",1,1685,-1.2403727233222,2.0391850132905,0.350456196785262
"2011-04-01","2",0,"4",0,"5",1,2227,-1.06737903101321,0.409719208683613,0.880309498378677
"2011-04-02","2",0,"4",0,"6",0,2252,-0.985434650445797,0.181535487392163,0.0859327828999655
"2011-04-03","2",0,"4",0,"0",0,3249,-0.639447265827822,-1.03836979181982,-0.106760695832739
"2011-04-04","2",0,"4",0,"1",1,3115,0.425829681548577,-1.41575056164798,2.5172900639408
"2011-04-05","2",0,"4",0,"2",1,1795,-0.443691245583441,0.0996233823131816,2.54949525193212
"2011-04-06","2",0,"4",0,"3",1,2808,-0.571160282021643,-1.1027293029533,0.936493841368542
"2011-04-07","2",0,"4",0,"4",1,3141,-0.31622220914524,-0.175367256166258,-0.363541961018953
"2011-04-08","2",0,"4",0,"5",1,1471,-0.871623010768832,1.46287484541338,0.471050915757766
"2011-04-09","2",0,"4",0,"6",0,2455,-0.835203286072203,1.75249264551407,-0.740702885491587
"2011-04-10","2",0,"4",0,"0",0,2895,-0.375404261777262,1.6120718939501,-0.564138883215304
"2011-04-11","2",0,"4",0,"1",1,3348,0.547756585967726,0.625310851709815,1.72892099404078
"2011-04-12","2",0,"4",0,"2",1,2034,0.0388701066468935,0.781249113863281,1.08897115880324
"2011-04-13","2",0,"4",0,"3",1,2162,-0.452796176757598,1.34293212011916,0.775898020784115
"2011-04-14","2",0,"4",0,"4",1,3267,-0.152333448010409,-0.614182104803661,-1.02952804390456
"2011-04-15","2",0,"4",1,"5",0,3126,-0.266145087687374,0.304403645010637,0.463093707372599
"2011-04-16","2",0,"4",0,"6",0,795,-0.352641933841869,1.82855388594455,1.93969351203638
"2011-04-17","2",0,"4",0,"0",0,3744,-0.211515500642431,-1.04129522414407,1.45822863981222
"2011-04-18","2",0,"4",0,"1",1,3429,0.0934996936918371,-0.599554943182414,-0.347358719641012
"2011-04-19","2",0,"4",0,"2",1,3204,0.0570799689952081,0.266373024795395,-0.419565009244254
"2011-04-20","2",0,"4",0,"3",1,3944,0.544193786812621,-0.0963805834115255,0.663744394490471
"2011-04-21","2",0,"4",0,"4",1,4189,-0.197858103881195,-1.55032044856345,1.73904282491851
"2011-04-22","2",0,"4",0,"5",1,1683,-0.867070545181753,0.713964170405546,0.374650411469893
"2011-04-23","2",0,"4",0,"6",0,4036,-0.193305638294117,1.8256284536203,0.519224285440942
"2011-04-24","2",0,"4",0,"0",0,4191,0.471354337419363,1.28442347363417,0.0217912315249331
"2011-04-25","2",0,"4",0,"1",1,4073,0.607928305031722,1.04453802304572,-0.0664907696132085
"2011-04-26","2",0,"4",0,"2",1,4400,0.744502272644081,0.711038738081297,1.75506477153188
"2011-04-27","2",0,"4",0,"3",1,3872,0.68076775442498,1.45702398076488,1.57054356087043
"2011-04-28","2",0,"4",0,"4",1,4058,0.667110357663744,0.512109340032341,1.68291224685016
"2011-04-29","2",0,"4",0,"5",1,4595,0.0798422969306013,-1.19926856965353,0.639711474570404
"2011-04-30","2",0,"4",0,"6",0,5312,-0.125018654487937,-0.874545581661853,0.575354863509286
"2011-05-01","2",0,"5",0,"0",0,3351,-0.238830294164903,0.942147891696996,-1.08560485705138
"2011-05-02","2",0,"5",0,"1",1,4401,0.293808179523297,0.716889602729795,-0.0907387492193608
"2011-05-03","2",0,"5",0,"2",1,4451,0.662557892076665,0.485780449114096,1.96367266703492
"2011-05-04","2",0,"5",0,"3",1,2633,-0.443691245583441,0.766621952242035,1.7872699595232
"2011-05-05","2",0,"5",0,"4",1,4433,-0.197858103881195,-1.28995697170526,1.3536558674531
"2011-05-06","2",0,"5",0,"5",1,4608,-0.0885989297913082,-0.266055658217988,0.487234157135708
"2011-05-07","2",0,"5",0,"6",0,4714,0.134471883975545,-0.608331240155162,-0.38757488093902
"2011-05-08","2",0,"5",0,"0",0,4333,0.179996539846331,0.0264875742069477,-1.49486343967229
"2011-05-09","2",0,"5",0,"1",1,4362,0.202758867781724,-0.274831955190736,-0.186924193821149
"2011-05-10","2",0,"5",0,"2",1,4803,0.202758867781724,-0.974010280686332,-0.965386492529525
"2011-05-11","2",0,"5",0,"3",1,4182,0.257388454826668,0.0352638711796957,-0.901244941154493
"2011-05-12","2",0,"5",0,"4",1,4864,0.21641626454296,0.839757760348268,-0.0105752512309507
"2011-05-13","2",0,"5",0,"5",1,4105,0.093499693691837,1.65302794648959,-0.138858353981015
"2011-05-14","2",0,"5",0,"6",0,3409,0.139024349562623,2.068439336533,-0.716616200649999
"2011-05-15","2",0,"5",0,"0",0,4553,0.366647628916555,1.67935683740783,-0.483975385226894
"2011-05-16","2",0,"5",0,"1",1,3958,0.44859200948397,1.12352469580046,-0.820866383479997
"2011-05-17","2",0,"5",0,"2",1,4123,0.362095163329476,1.47457657471038,1.12090752218695
"2011-05-18","2",0,"5",0,"3",1,3855,0.298360645110375,1.69983486367758,0.142009596046787
"2011-05-19","2",0,"5",0,"4",1,4575,0.193653936607567,1.41606792822539,-1.06162570205283
"2011-05-20","2",0,"5",0,"5",1,4917,0.225521195717117,0.643753794623562,-0.844845538478542
"2011-05-21","2",0,"5",0,"6",0,5805,0.585165977096329,-0.00861761368404457,-0.90113741131145
"2011-05-22","2",0,"5",0,"0",0,4660,0.594270908270486,0.854384921969515,-0.548116936601926
"2011-05-23","2",0,"5",0,"1",1,4274,0.744502272644081,1.27857260898567,0.559440446738951
"2011-05-24","2",0,"5",0,"2",1,4492,0.899286102604754,0.792950843160278,0.214269650571552
"2011-05-25","2",0,"5",0,"3",1,4978,0.903838568191833,0.479929584465598,-0.467792143848952
"2011-05-26","2",0,"5",0,"4",1,4677,1.16332910665531,0.348285129874377,0.118137970891285
"2011-05-27","2",0,"5",0,"5",1,4679,1.0176502078688,0.181535487392163,0.647668682955572
"2011-05-28","2",0,"5",0,"6",0,4758,0.876523774669361,0.713964170405546,0.511052017369689
"2011-05-29","2",0,"5",0,"0",0,4788,0.940258292888462,1.34000668779491,0.302605416631215
"2011-05-30","2",0,"5",1,"1",0,4098,1.29990307426767,0.400942911710865,-0.764682040490132
"2011-05-31","2",0,"5",0,"2",1,3982,1.5275263536216,0.06159276209794,-1.02140954075483
"2011-06-01","2",0,"6",0,"3",1,3974,1.46834430098958,0.345359697550127,0.214269650571551
"2011-06-02","2",0,"6",0,"4",1,4968,1.19974883135194,-2.26705136800455,1.31360100091965
"2011-06-03","2",0,"6",0,"5",1,5312,0.68076775442498,-1.92185035374312,0.808210738618477
"2011-06-04","2",0,"6",0,"6",0,5342,0.762712134992395,-1.20511943430203,-0.868985988241652
"2011-06-05","2",0,"6",0,"0",0,4906,0.835551584385653,0.172759190419415,-0.66833530112378
"2011-06-06","2",0,"6",0,"1",1,4548,0.999440345520484,-0.195845282436003,-0.885061699776551
"2011-06-07","2",0,"6",0,"2",1,4833,1.15877664106824,-0.21047244405725,-0.0345544062294959
"2011-06-08","2",0,"6",0,"3",1,4401,1.53207881920868,-0.0407973692507876,-0.692529515808411
"2011-06-09","2",0,"6",0,"4",1,3915,1.70962497710475,-0.418178139078954,-0.523922721917295
"2011-06-10","2",0,"6",0,"5",1,4586,1.41826717953172,-0.160740094545011,-0.644302381203714
"2011-06-11","2",0,"6",0,"6",0,4966,1.25437841839689,0.187386352040662,-0.459834935463784
"2011-06-12","2",0,"6",0,"0",0,4460,1.07683226050082,0.842683192672518,-0.347358719641012
"2011-06-13","2",0,"6",0,"1",1,5020,0.762712134992395,-0.93597966047109,1.48215402988925
"2011-06-14","2",0,"6",0,"2",1,4891,0.594270908270486,-0.84821669074361,1.01676486919999
"2011-06-15","2",0,"6",0,"3",1,5180,0.717187479121609,-1.0968784383048,-0.29128190649419
"2011-06-16","2",0,"6",0,"4",1,3767,0.726292410295766,0.42434637030486,0.206258677264863
"2011-06-17","2",0,"6",0,"5",1,4844,0.840104049972732,0.757845655269286,-0.612366017820001
"2011-06-18","2",0,"6",0,"6",0,5119,1.09959458843621,0.298552780362138,-0.917159357924828
"2011-06-19","2",0,"6",0,"0",0,4744,1.11325198519745,0.272223889443894,-1.14178920004124
"2011-06-20","2",0,"6",0,"1",1,4010,0.762712134992395,0.83098146337552,-0.451770197235574
"2011-06-21","3",0,"6",0,"2",1,4835,1.01309774228172,1.00065653818198,-0.251119510117702
"2011-06-22","3",0,"6",0,"3",1,4507,1.29990307426767,0.55891625722033,-0.235151328425846
"2011-06-23","3",0,"6",0,"4",1,4790,1.2725882807452,0.529661933977837,0.623474468270941
"2011-06-24","3",0,"6",0,"5",1,4991,1.24982595280981,-0.383072951187962,0.406963129304256
"2011-06-25","3",0,"6",0,"6",0,5202,1.09048965726206,-1.01496633322582,0.246259778876786
"2011-06-26","3",0,"6",0,"0",0,5305,1.00854527669464,-0.804335205879869,-1.2381359394076
"2011-06-27","3",0,"6",0,"1",1,4708,1.02220267345588,0.213715242958906,-1.06969044028104
"2011-06-28","3",0,"6",0,"2",1,4648,1.3590851268997,0.0440401681524438,-0.596182776442059
"2011-06-29","3",0,"6",0,"3",1,5225,1.2725882807452,-0.912576201877095,0.920471894755164
"2011-06-30","3",0,"6",0,"4",1,5515,1.09959458843621,-1.36016734748725,-0.0667595942208156
"2011-07-01","3",0,"7",0,"5",1,5362,1.24072102163565,-1.62638168899394,-1.13393952149912
"2011-07-02","3",0,"7",0,"6",0,5119,1.32721786779014,-1.28703153938101,-0.97323617107165
"2011-07-03","3",0,"7",0,"0",0,4649,1.2088537625261,0.383390317765369,0.495137600599354
"2011-07-04","3",0,"7",1,"1",0,6043,1.26348334957104,0.070369059070688,-1.40658143853415
"2011-07-05","3",0,"7",0,"2",1,4665,1.37274252366093,-0.263130225893738,-0.828769826943643
"2011-07-06","3",0,"7",0,"3",1,4629,1.22706362487442,0.810503437105775,-0.523922721917295
"2011-07-07","3",0,"7",0,"4",1,4592,1.39095238600925,0.163982893446667,-0.403704357395441
"2011-07-08","3",0,"7",0,"5",1,4040,1.16788157224239,0.912893568454502,0.4470179958377
"2011-07-09","3",0,"7",0,"6",0,5336,1.29990307426767,-0.131485771302518,-0.291281906494189
"2011-07-10","3",0,"7",0,"0",0,4881,1.37729498924801,-0.34796776329697,-0.0905236895332753
"2011-07-11","3",0,"7",0,"1",1,4086,1.45923936981543,0.0557418974494414,1.18521036832655
"2011-07-12","3",0,"7",0,"2",1,4258,1.63223306212441,-0.48253765021244,0.126041414354931
"2011-07-13","3",0,"7",0,"3",1,4342,1.37274252366093,0.0264875742069478,-0.572311151286557
"2011-07-14","3",0,"7",0,"4",1,5084,1.01309774228172,-1.06469868273806,0.647507388191007
"2011-07-15","3",0,"7",0,"5",1,5538,0.917495964953069,-0.25727936124524,-0.0987497225260497
"2011-07-16","3",0,"7",0,"6",0,5923,1.04496500139127,-0.30116084610898,0.230399127027972
"2011-07-17","3",0,"7",0,"0",0,5302,1.22251115928734,-0.16659095919351,0.703853025945437
"2011-07-18","3",0,"7",0,"1",1,4458,1.37274252366093,0.163982893446668,0.326692101472803
"2011-07-19","3",0,"7",0,"2",1,4541,1.53663128479576,0.158132028798169,-0.772746778718342
"2011-07-20","3",0,"7",0,"3",1,4332,1.49110662892498,0.555990824896081,-0.989311882606549
"2011-07-21","3",0,"7",0,"4",1,3784,1.74604470180138,0.444824396574605,0.406909364382734
"2011-07-22","3",0,"7",0,"5",1,3387,1.92814332528452,-0.333340601675723,-0.740487825805502
"2011-07-23","3",0,"7",0,"6",0,3285,1.9326957908716,-0.897949040255848,-0.764735805411653
"2011-07-24","3",0,"7",0,"0",0,3606,1.82798908236879,-0.541046296697427,-0.275044900194726
"2011-07-25","3",0,"7",0,"1",1,3840,1.35453266131262,0.907042703806003,-1.28620177924773
"2011-07-26","3",0,"7",0,"2",1,4590,1.50931649127329,-0.611256672479412,0.126095179276453
"2011-07-27","3",0,"7",0,"3",1,4656,1.5275263536216,-1.57957477180595,-0.090631219376318
"2011-07-28","3",0,"7",0,"4",1,4390,1.550288681557,-0.312862575405977,-0.154934065515915
"2011-07-29","3",0,"7",0,"5",1,3846,1.87351373823958,-0.599554943182414,-0.210957113741215
"2011-07-30","3",0,"7",0,"6",0,4475,1.68686264916936,-1.1378344908443,-0.283217168265979
"2011-07-31","3",0,"7",0,"0",0,4302,1.69596758034351,-1.03251892717132,-0.331283008106112
"2011-08-01","3",0,"8",0,"1",1,4266,1.50931649127329,-0.541046296697427,-0.435748250622196
"2011-08-02","3",0,"8",0,"2",1,4845,1.57305100949239,-0.959383119065085,0.198247703958174
"2011-08-03","3",0,"8",0,"3",1,3574,1.29079814309352,0.207864378310408,-0.708443932578746
"2011-08-04","3",0,"8",0,"4",1,4576,1.17243403782947,0.909968136130253,0.0859865478214869
"2011-08-05","3",0,"8",0,"5",1,4866,1.17698650341655,0.0206367095584491,-0.0747168026059831
"2011-08-06","3",0,"8",0,"6",0,4294,1.2088537625261,0.892415542184757,0.48728792205723
"2011-08-07","3",0,"8",0,"0",0,3785,1.34998019572554,0.87778838056351,0.141955831125266
"2011-08-08","3",0,"8",0,"1",1,4326,1.47289676657666,-0.251428496596741,0.0217912315249331
"2011-08-09","3",0,"8",0,"2",1,4602,1.5275263536216,-0.403550977457707,-0.507954540225439
"2011-08-10","3",0,"8",0,"3",1,4780,1.48200169775082,-1.43037772326923,0.126095179276453
"2011-08-11","3",0,"8",0,"4",1,4792,1.21340622811318,-1.43330315559348,-0.331498067792198
"2011-08-12","3",0,"8",0,"5",1,4905,1.16332910665531,-1.49473723440272,-0.836995859936417
"2011-08-13","3",0,"8",0,"6",0,4150,1.04041253580419,0.713964170405546,0.270561523404459
"2011-08-14","3",0,"8",0,"0",0,3820,0.990335414346327,1.33123039082216,0.41481280784638
"2011-08-15","3",0,"8",0,"1",1,4338,0.931153361714305,0.591096012787073,0.238302570491618
"2011-08-16","3",0,"8",0,"2",1,4725,1.12235691637161,-0.34796776329697,0.591538104887228
"2011-08-17","3",0,"8",0,"3",1,4694,1.24527348722273,-0.368445789566715,-0.604139984827226
"2011-08-18","3",0,"8",0,"4",1,3805,1.18153896900363,0.187386352040662,0.551268178667698
"2011-08-19","3",0,"8",0,"5",1,4153,1.03586007021711,0.667157253217556,-0.660378092738613
"2011-08-20","3",0,"8",0,"6",0,5191,1.10414705402329,0.324881671280382,-1.10996036650057
"2011-08-21","3",0,"8",0,"0",0,3873,1.17698650341655,0.997731105857733,0.751865100864048
"2011-08-22","3",0,"8",0,"1",1,4758,1.07227979491374,-1.1085801676018,1.11311160856635
"2011-08-23","3",0,"8",0,"2",1,5895,0.794579394101946,-1.21097029895053,-0.564192648136825
"2011-08-24","3",0,"8",0,"3",1,5130,0.972125551998012,-0.160740094545011,0.808049443853913
"2011-08-25","3",0,"8",0,"4",1,3542,1.03130760463003,1.00943283515473,0.26255055009777
"2011-08-26","3",0,"8",0,"5",1,4661,1.11780445078453,0.936297027048497,-1.37453754530739
"2011-08-27","3",0,"8",0,"6",0,1115,1.00854527669464,1.55941411211361,2.38884566642617
"2011-08-28","3",0,"8",0,"0",0,4334,1.15636651222802,-0.464296719249473,1.47323537820158
"2011-08-29","3",0,"8",0,"1",1,4634,0.771817066166552,-0.514717405779183,-0.39563961916723
"2011-08-30","3",0,"8",0,"2",1,5204,0.785474462927788,-0.558598890642923,-0.844899303400064
"2011-08-31","3",0,"8",0,"3",1,5058,0.881076240256439,-0.21047244405725,-1.38265604845712
"2011-09-01","3",0,"9",0,"4",1,5115,0.871971309082282,0.0791453560434362,-0.628280434590336
"2011-09-02","3",0,"9",0,"5",1,4727,0.808236790863181,0.69641157646005,-0.652367119431924
"2011-09-03","3",0,"9",0,"6",0,4484,0.949363224062619,0.623275768353816,-0.0665982994562514
"2011-09-04","3",0,"9",0,"0",0,4940,1.16788157224239,0.801727140133027,0.206204912343341
"2011-09-05","3",0,"9",1,"1",0,3351,0.972125551998013,1.14107728974595,0.286583470017837
"2011-09-06","3",0,"9",0,"2",1,2710,0.243731058065432,1.81888724000355,1.98014810907331
"2011-09-07","3",0,"9",0,"3",1,1996,0.566956114748014,2.03040871631775,-1.20603828125932
"2011-09-08","3",0,"9",0,"4",1,1842,0.756774136400553,2.18825486911747,0.0291827394314841
"2011-09-09","3",0,"9",0,"5",1,3544,0.844656515559811,1.89583882940229,-0.853017806549795
"2011-09-10","3",0,"9",0,"6",0,5345,0.899286102604754,0.883639245212009,-0.475856882077162
"2011-09-11","3",0,"9",0,"0",0,5046,0.862866377908125,0.60279774208407,-0.973343700914693
"2011-09-12","3",0,"9",0,"1",1,4713,0.813778922882234,0.451311224771854,-1.31065780572412
"2011-09-13","3",0,"9",0,"2",1,4763,0.849208981146889,0.594021445111322,-0.628172904747293
"2011-09-14","3",0,"9",0,"3",1,4785,0.972125551998012,0.485780449114096,-0.299185349957836
"2011-09-15","3",0,"9",0,"4",1,3659,0.44859200948397,0.570617986517328,1.04079778912006
"2011-09-16","3",0,"9",0,"5",1,4760,-0.143228516836252,-0.263130225893738,-0.339401511255844
"2011-09-17","3",0,"9",0,"6",0,4511,-0.0203119459851286,0.634977497650813,-0.0104677213879079
"2011-09-18","3",0,"9",0,"0",0,4274,0.0661849001693653,0.47115328749285,-0.154880300594393
"2011-09-19","3",0,"9",0,"1",1,4539,0.293808179523297,0.436048099601857,-0.49994356691875
"2011-09-20","3",0,"9",0,"2",1,3641,0.362095163329476,1.77882153643231,-0.716562435728478
"2011-09-21","3",0,"9",0,"3",1,4352,0.544193786812621,1.91046599102353,-1.21399548964449
"2011-09-22","3",0,"9",0,"4",1,4795,0.726292410295766,1.92509315264478,-0.804683142102055
"2011-09-23","4",0,"9",0,"5",1,2395,0.621585701792958,2.41949121544292,-1.44674383491064
"2011-09-24","4",0,"9",0,"6",0,5423,0.607928305031722,1.64717708184109,-1.44652877522455
"2011-09-25","4",0,"9",0,"0",0,5010,0.758159669405316,1.52430892422262,-1.80788281276989
"2011-09-26","4",0,"9",0,"1",1,4630,0.840104049972732,1.54771238281661,-1.02952804390456
"2011-09-27","4",0,"9",0,"2",1,4120,0.771817066166552,1.8080758596748,-0.933127539616684
"2011-09-28","4",0,"9",0,"3",1,3907,0.762712134992395,1.55063781514086,-0.540105963295237
"2011-09-29","4",0,"9",0,"4",1,4839,0.662557892076665,0.500407610735343,-0.227140355119157
"2011-09-30","4",0,"9",0,"5",1,5202,0.375752560090712,0.137654002528423,0.206312442186384
"2011-10-01","4",0,"10",0,"6",0,2429,-0.466453573518834,0.883639245212009,1.3137085307627
"2011-10-02","4",0,"10",0,"0",0,2918,-0.757811371091866,1.1498535867187,0.406801834539691
